player,url,position
Jack Grealish,players/Manchester City/jack_grealish.csv,FW
Phil Foden,players/Manchester City/phil_foden.csv,FWDF
Aymeric Laporte,players/Manchester City/aymeric_laporte.csv,DF
Stefan Ortega,players/Manchester City/stefan_ortega.csv,GK
Kyle Walker,players/Manchester City/kyle_walker.csv,DF
John Stones,players/Manchester City/john_stones.csv,DF
Bernardo Silva,players/Manchester City/bernardo_silva.csv,MFFW
Rúben Dias,players/Manchester City/rúben_dias.csv,DF
İlkay Gündoğan,players/Manchester City/i̇lkay_gündoğan.csv,MF
Kalvin Phillips,players/Manchester City/kalvin_phillips.csv,MF
Liam Delap,players/Manchester City/liam_delap.csv,FW
Manuel Akanji,players/Manchester City/manuel_akanji.csv,DF
Riyad Mahrez,players/Manchester City/riyad_mahrez.csv,FWMF
Claudio Gomes,players/Manchester City/claudio_gomes.csv,MF
João Cancelo,players/Manchester City/joão_cancelo.csv,DF
Rodri,players/Manchester City/rodri.csv,MF
Erling Haaland,players/Manchester City/erling_haaland.csv,FW
Kevin De Bruyne,players/Manchester City/kevin_de_bruyne.csv,MF
Ederson,players/Manchester City/ederson.csv,GK
Rico Lewis,players/Manchester City/rico_lewis.csv,DFMF
Máximo Perrone,players/Manchester City/máximo_perrone.csv,MF
Nathan Aké,players/Manchester City/nathan_aké.csv,DF
Julián Álvarez,players/Manchester City/julián_álvarez.csv,FWMF
